"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0097193","intrinsic apoptotic signaling pathway","31/878","292/23210",2.50834229060055e-07,0.000114745258239109,9.65171708182278e-05,"Rnf7/Ivns1abp/Ddx5/Rps7/Ddx3x/Pttg1ip/Hsph1/Dnaja1/Sod2/Nono/P4hb/March7/Atf4/Vdac2/Rps27l/Ptpn2/Pdcd10/Serinc3/Hnrnpk/Skil/Flcn/Itpr1/Mcl1/Selenos/Pdk1/Sh3glb1/Becn1/Rnf183/Zfp385a/Ndufa13/Src",31
"BP","GO:0009150","purine ribonucleotide metabolic process","39/878","423/23210",3.17201197757843e-07,0.000133013035593122,0.000111882983875815,"Atp1b1/Sucla2/Cox7a2l/Atp5c1/Acsl1/Atp5a1/Far1/Atp5h/App/Dlat/Ndufs6/Cycs/Acsl6/Scp2/Hprt/Paics/Adcy9/Sdha/Cs/Adcy2/Pdha1/Pdhb/Flcn/Atp5j/Coq9/Pdk1/Ndufv2/Ldha/Pank3/Uqcrb/Gphn/Gpat4/Gadd45gip1/Mocs1/Ak4/Nudt5/Atp5j2/Cdk1/Myh7",39
"BP","GO:0015931","nucleobase-containing compound transport","23/878","181/23210",3.85920746790411e-07,0.00014855054009524,0.00012495224703434,"Hnrnpa2b1/Tomm20/Slc25a36/Qk/G3bp2/Cetn2/Hnrnpa3/Hnrnpu/Gja1/Ddx39/Srsf3/Slc25a4/Adora1/Thoc7/Nup85/Zc3h11a/Xpo7/Riok2/Slc35a5/Thoc1/Pom121/Ncbp2/Poldip3",23
"BP","GO:0042176","regulation of protein catabolic process","36/878","378/23210",4.13296415209332e-07,0.00014855054009524,0.00012495224703434,"Ndfip1/Ubxn2a/Csnk1d/Rps7/Wac/Hsp90aa1/Pttg1ip/Azin1/Rdx/Rnf14/Nsf/Serpine2/Gja1/Odc1/Vps35/March7/Csnk1a1/Hspa1a/Chfr/Rpl23/Usp7/Egln1/Sumo1/Mycbp2/Smad4/Adam9/Tiparp/Arih2/Gclc/Ankib1/Ophn1/Nkd1/Ubac2/Ndufa13/Nrd1/Derl3",36
"BP","GO:0009259","ribonucleotide metabolic process","39/878","433/23210",5.7445180955707e-07,0.000182066335130146,0.000153143823437017,"Atp1b1/Sucla2/Cox7a2l/Atp5c1/Acsl1/Atp5a1/Far1/Atp5h/App/Dlat/Ndufs6/Cycs/Acsl6/Scp2/Hprt/Paics/Adcy9/Sdha/Cs/Adcy2/Pdha1/Pdhb/Flcn/Atp5j/Coq9/Pdk1/Ndufv2/Ldha/Pank3/Uqcrb/Gphn/Gpat4/Gadd45gip1/Mocs1/Ak4/Nudt5/Atp5j2/Cdk1/Myh7",39
"BP","GO:0019693","ribose phosphate metabolic process","40/878","450/23210",5.78907265914613e-07,0.000182066335130146,0.000153143823437017,"Atp1b1/Sucla2/Cox7a2l/Atp5c1/Acsl1/Atp5a1/Far1/Atp5h/App/Dlat/Ndufs6/Cycs/Acsl6/Scp2/Hprt/Paics/Adcy9/Sdha/Cs/Adcy2/Pdha1/Pdhb/Hsd11b1/Flcn/Atp5j/Coq9/Pdk1/Ndufv2/Ldha/Pank3/Uqcrb/Gphn/Gpat4/Gadd45gip1/Mocs1/Ak4/Nudt5/Atp5j2/Cdk1/Myh7",40
"BP","GO:0072521","purine-containing compound metabolic process","42/878","490/23210",7.95876610796748e-07,0.000235579476795837,0.000198156027988466,"Atp1b1/Oga/Sucla2/Cox7a2l/Atp5c1/Acsl1/Atp5a1/Far1/Atp5h/App/Dlat/Ndufs6/Cycs/Acsl6/Scp2/Hprt/Paics/Adcy9/Adk/Sdha/Cs/Adcy2/Pdha1/Ahcyl2/Pdhb/Flcn/Atp5j/Coq9/Pdk1/Ndufv2/Ldha/Pank3/Uqcrb/Gphn/Gpat4/Gadd45gip1/Mocs1/Ak4/Nudt5/Atp5j2/Cdk1/Myh7",42
"BP","GO:0042274","ribosomal small subunit biogenesis","13/878","66/23210",9.49042018346891e-07,0.000265309968684531,0.000223163623144611,"Rps7/Rps8/Rps6/Ngdn/Rps10/Mrps9/Rps25/Rps27l/Riok2/Rps17/Rps21/Eral1/Rps24",13
"BP","GO:0006099","tricarboxylic acid cycle","9/878","31/23210",1.44938719509075e-06,0.000383858756089297,0.000322880105898055,"Sucla2/Mdh1/Dlat/Sdha/Cs/Pdha1/Aco1/Pdhb/Dlst",9
"BP","GO:0006979","response to oxidative stress","36/878","400/23210",1.58141811986335e-06,0.000397884798957618,0.000334678013682659,"Rnf7/Oxr1/Hsph1/Prnp/App/Sod2/Nono/Ctnnb1/P4hb/Atf4/Atp2a2/Slc8a1/Pdcd10/Sesn1/Egln1/Chd6/Camk2g/Ndufa6/Prdx2/Prdx4/Adam9/Mcl1/Selenos/Pdk1/Als2/Gclc/Rhob/Epx/Mapkap1/Fancc/Axl/Itgav/Src/Apex1/Pcgf2/Endog",36
"BP","GO:0006101","citrate metabolic process","9/878","32/23210",1.94906116738366e-06,0.000467032180679742,0.000392840849827053,"Sucla2/Mdh1/Dlat/Sdha/Cs/Pdha1/Aco1/Pdhb/Dlst",9
"BP","GO:0051054","positive regulation of DNA metabolic process","26/878","245/23210",2.30984490089648e-06,0.00052832452460505,0.000444396475909318,"Hnrnpa2b1/Oga/Hsp90aa1/Cct4/Cdc42/Trp53bp1/Tnfaip1/Nek7/Ctnnb1/Cct5/Usp9x/Cct2/Usp7/Otud4/Ube2b/Mphosph8/Gnl3/Ino80/Uimc1/Cbx8/Rfc3/Atrx/Foxm1/Src/Cdk1/Endog",26
"BP","GO:0010498","proteasomal protein catabolic process","39/878","459/23210",2.42500159309429e-06,0.00053054817462828,0.000446266883562111,"Crbn/Rnf7/Ubxn2a/Pmp22/Csnk1d/Wac/Fbxw11/Ccdc47/Derl1/Dnajb9/Rnf14/Tnfaip1/Ube2d3/March6/Ctnnb1/Psma3/March7/Psmc6/Csnk1a1/Hspa1a/Psma2/Chfr/Pcnp/Usp7/Sumo1/Ube2b/Rnf34/Psma5/Psma7/Ube2i/Selenos/Fbxo33/Arih2/Gclc/Ankib1/Ophn1/Ubac2/H13/Derl3",39
"BP","GO:0016569","covalent chromatin modification","38/878","444/23210",2.74436068369396e-06,0.000575400956681167,0.000483994487242694,"Nap1l2/Wac/Morf4l2/Ctnnb1/Jmjd1c/Usp7/Kansl2/Dnmt3a/Ube2b/Mbd2/Smad4/Slk/Mphosph8/Pim3/Flcn/Prmt2/Paxbp1/Morf4l1/Ddb2/Rcor1/Ing3/Uimc1/Kmt2e/Mbd1/Prmt7/Cbx8/Pax5/Atrx/Coprs/Ldb1/Kmt2d/Lmna/Fbl/Hcfc1/Elk4/Kansl1/Baz1b/Pcgf2",38
"BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","35/878","394/23210",2.95467609246855e-06,0.000594717203892069,0.000500242213381727,"Crbn/Rnf7/Ubxn2a/Pmp22/Csnk1d/Wac/Fbxw11/Ccdc47/Derl1/Dnajb9/Rnf14/Tnfaip1/Ube2d3/March6/Ctnnb1/Psma3/Psmc6/Csnk1a1/Hspa1a/Psma2/Chfr/Pcnp/Usp7/Sumo1/Ube2b/Rnf34/Psma5/Psma7/Ube2i/Selenos/Fbxo33/Arih2/Gclc/Ankib1/Derl3",35
"BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","15/878","97/23210",3.5352564487905e-06,0.000684208094242839,0.000575516849416462,"Ivns1abp/Ddx3x/Pttg1ip/Hsph1/Dnaja1/Sod2/Nono/March7/Vdac2/Mcl1/Selenos/Sh3glb1/Zfp385a/Ndufa13/Src",15
"BP","GO:0034248","regulation of cellular amide metabolic process","34/878","382/23210",3.90997814966477e-06,0.000728704075893078,0.000612944332935751,"Secisbp2l/Vim/Qk/Paip2/Ddx3x/Samd4/Prnp/App/Tnrc6a/Ngdn/Eif3e/Rplp1/Rps27l/Eif5/Cnbp/Tmed10/Fastkd2/Aco1/Hsd11b1/Fech/Zfp706/Eif4enif1/Cnot2/Eif4g2/Cnot6/Pdk1/Ncbp2/Poldip3/Pum2/Rida/Krt17/Eif4e2/Prg3/Zfp385a",34
"BP","GO:0032200","telomere organization","17/878","126/23210",5.50835268029562e-06,0.000989929667401698,0.000832672410807093,"Hnrnpa2b1/Hsp90aa1/Cct4/Hnrnpu/Nek7/Ctnnb1/Cct5/Hspa1a/Cct2/H3f3a/H3f3b/Rpa1/Gnl3/Atrx/Lmna/Src/Apex1",17
"BP","GO:0072350","tricarboxylic acid metabolic process","9/878","37/23210",7.29324229563984e-06,0.00126550328385033,0.00106446922942896,"Sucla2/Mdh1/Dlat/Sdha/Cs/Pdha1/Aco1/Pdhb/Dlst",9
"BP","GO:1990778","protein localization to cell periphery","31/878","344/23210",8.05668005541862e-06,0.00135137380129555,0.00113669861413468,"Ramp2/Atp1b1/Sorbs1/Adam10/Pgrmc1/Ptch1/Kif5b/Prnp/Sptbn1/Rdx/Nsf/Vamp3/Vps35/Stx7/Scp2/Vamp4/Dennd4c/Camk2g/Rab31/Rab10/Rap2a/Ank1/Golph3/Emp2/Gnai1/Gphn/Mmp14/Dag1/Rab3b/Lama5/Lin7b",31
"BP","GO:0006417","regulation of translation","30/878","332/23210",1.06468757288666e-05,0.00162868800798495,0.00136995951805445,"Secisbp2l/Vim/Qk/Paip2/Ddx3x/Samd4/App/Tnrc6a/Ngdn/Eif3e/Rplp1/Rps27l/Eif5/Cnbp/Fastkd2/Aco1/Fech/Zfp706/Eif4enif1/Cnot2/Eif4g2/Cnot6/Ncbp2/Poldip3/Pum2/Rida/Krt17/Eif4e2/Prg3/Zfp385a",30
"BP","GO:2000369","regulation of clathrin-dependent endocytosis","6/878","15/23210",1.07532039428019e-05,0.00162868800798495,0.00136995951805445,"Aak1/Wasl/Dnm2/Hip1r/Sh3gl2/Smap1",6
"BP","GO:0016999","antibiotic metabolic process","17/878","133/23210",1.14792905197453e-05,0.00162868800798495,0.00136995951805445,"Sucla2/Mdh1/Sod2/Dlat/Cycs/Sdha/Cs/Pdha1/Esd/Adh5/Aco1/Pdhb/Prdx2/Prdx4/Gnpda2/Epx/Dlst",17
"BP","GO:0071826","ribonucleoprotein complex subunit organization","24/878","236/23210",1.15703779862604e-05,0.00162868800798495,0.00136995951805445,"Luc7l3/Hsp90aa1/Ddx3x/G3bp2/Kif5b/Eif3a/Mbnl1/Snrpg/Rps10/Rps25/Rps27l/Eif5/Dhx30/Fastkd2/Sf3b1/Luc7l2/Cnot2/Mcts1/Cnot6/Pum2/Scaf11/Prmt7/Eral1/Atxn2",24
"BP","GO:1902115","regulation of organelle assembly","22/878","206/23210",1.22877153592896e-05,0.00162868800798495,0.00136995951805445,"Sept7/Vps4b/Tbc1d14/G3bp2/Rdx/Hnrnpu/Gsn/Hspa1a/Map4/Stag2/Smad4/Cnot2/Cnot6/Sh3glb1/Becn1/Dnm2/Sept9/Ttbk2/Stx18/Src/Mark4/Atxn2",22
"BP","GO:0050657","nucleic acid transport","18/878","148/23210",1.28602797915896e-05,0.00162868800798495,0.00136995951805445,"Hnrnpa2b1/Tomm20/Qk/G3bp2/Cetn2/Hnrnpa3/Hnrnpu/Ddx39/Srsf3/Thoc7/Nup85/Zc3h11a/Xpo7/Riok2/Thoc1/Pom121/Ncbp2/Poldip3",18
"BP","GO:0050658","RNA transport","18/878","148/23210",1.28602797915896e-05,0.00162868800798495,0.00136995951805445,"Hnrnpa2b1/Tomm20/Qk/G3bp2/Cetn2/Hnrnpa3/Hnrnpu/Ddx39/Srsf3/Thoc7/Nup85/Zc3h11a/Xpo7/Riok2/Thoc1/Pom121/Ncbp2/Poldip3",18
"BP","GO:0009896","positive regulation of catabolic process","35/878","422/23210",1.32677567430618e-05,0.00162868800798495,0.00136995951805445,"Ndfip1/Csnk1d/Qk/Wac/Hsp90aa1/Pttg1ip/Rdx/Rnf14/Nsf/App/Tnrc6a/Gja1/Prkce/Vps35/Csnk1a1/Hspa1a/Pabpc1/Adora1/Chfr/Sesn1/Tbk1/Sumo1/Flcn/Adam9/Tiparp/Arih2/Sh3glb1/Gclc/Ankib1/Rida/Becn1/Nkd1/Ndufa13/Nrd1/Endog",35
"BP","GO:0007030","Golgi organization","16/878","121/23210",1.33820212781347e-05,0.00162868800798495,0.00136995951805445,"Tmed2/Ubxn2a/Csnk1d/Cdc42/Vmp1/Csnk1a1/Pdcd10/Trip11/Vamp4/Tmed10/Atl2/Rab1a/Golph3/Dnm2/Stx18/Cdk1",16
"BP","GO:0051052","regulation of DNA metabolic process","36/878","440/23210",1.34873462488568e-05,0.00162868800798495,0.00136995951805445,"Ndfip1/Hnrnpa2b1/Oga/Hsp90aa1/Cct4/Cdc42/Trp53bp1/Tnfaip1/Hnrnpu/Gja1/Nek7/Ctnnb1/Cct5/Usp9x/Cct2/Usp7/Stag2/Otud4/Dnmt3a/Ube2b/Mphosph8/Flcn/Thoc1/Gnl3/Nudt16l1/Ino80/Uimc1/Cbx8/Rfc3/Atrx/Lmna/Ankrd17/Foxm1/Src/Cdk1/Endog",36
"BP","GO:0051028","mRNA transport","15/878","108/23210",1.35983654603705e-05,0.00162868800798495,0.00136995951805445,"Hnrnpa2b1/Qk/G3bp2/Cetn2/Hnrnpa3/Ddx39/Srsf3/Thoc7/Nup85/Zc3h11a/Xpo7/Thoc1/Pom121/Ncbp2/Poldip3",15
"BP","GO:0045333","cellular respiration","19/878","163/23210",1.38004768128636e-05,0.00162868800798495,0.00136995951805445,"Sucla2/Mdh1/Sod2/Dlat/Ndufs6/Cycs/Sdha/Cs/Pdha1/Fastkd2/Aco1/Pdhb/Flcn/Coq9/Ndufv2/Uqcrb/Dlst/Mup1/Cdk1",19
"BP","GO:0022618","ribonucleoprotein complex assembly","23/878","223/23210",1.39176439474072e-05,0.00162868800798495,0.00136995951805445,"Luc7l3/Hsp90aa1/Ddx3x/G3bp2/Eif3a/Mbnl1/Snrpg/Rps10/Rps25/Rps27l/Eif5/Dhx30/Fastkd2/Sf3b1/Luc7l2/Cnot2/Mcts1/Cnot6/Pum2/Scaf11/Prmt7/Eral1/Atxn2",23
"BP","GO:0007005","mitochondrion organization","37/878","459/23210",1.42861410448076e-05,0.00163381503948799,0.00137427208471702,"Rnf7/Tomm20/Slc25a36/Cox7a2l/Hsp90aa1/Chchd2/Higd1a/Cox17/Ndufa1/Sod2/Ndufs6/Vps35/Slc25a4/Mff/Hspd1/Ndufa6/Atf2/Flcn/Mcl1/Ndufs5/Agtpbp1/Ndufa3/Ndufb5/Golph3/Ndufa2/Sh3glb1/Uqcrb/Gclc/Wdr45b/Becn1/Nrf1/Hip1r/Lmna/Ndufa13/Mup1/Timm44/Pet100",37
"BP","GO:0031589","cell-substrate adhesion","30/878","339/23210",1.59413934941746e-05,0.00178260204583748,0.00149942323368599,"Gpm6b/Sorbs1/Nrp1/Vamp3/Prkce/Ctnnb1/Limch1/Slk/Antxr1/Itga6/Rab1a/Adam9/Dmd/Rasa1/Emp2/Strc/Dnm2/Mmp14/Itgbl1/Ldb1/Cdh13/Mink1/Axl/Itgav/Zyx/Src/Dag1/Lama5/Rell2/Lgals1",30
"BP","GO:2000651","positive regulation of sodium ion transmembrane transporter activity","6/878","16/23210",1.66542887630133e-05,0.00181721554111059,0.00152853813296077,"Atp1b1/Kif5b/Wnk1/Dmd/Dnm2/Drd4",6
"BP","GO:0051236","establishment of RNA localization","18/878","151/23210",1.69731976216609e-05,0.00181721554111059,0.00152853813296077,"Hnrnpa2b1/Tomm20/Qk/G3bp2/Cetn2/Hnrnpa3/Hnrnpu/Ddx39/Srsf3/Thoc7/Nup85/Zc3h11a/Xpo7/Riok2/Thoc1/Pom121/Ncbp2/Poldip3",18
"BP","GO:0009060","aerobic respiration","12/878","73/23210",1.7508277279704e-05,0.00183545106815564,0.00154387681889671,"Sucla2/Mdh1/Dlat/Cycs/Sdha/Cs/Pdha1/Aco1/Pdhb/Uqcrb/Dlst/Mup1",12
"BP","GO:0043254","regulation of protein complex assembly","36/878","451/23210",2.29189658032406e-05,0.00235363746779402,0.00197974568195125,"Crbn/Hsp90aa1/Ddx3x/G3bp2/Wasl/Psmc2/Ppm1a/Sptbn1/Rdx/Gsn/Prkce/Vps35/Stmn1/Ice1/Ctnnb1/Ptpn11/Psmc6/Vdac2/Pfn2/Sumo1/H3f3b/Mtpn/Mapre1/Cnot2/Sub1/Cnot6/Lamp2/Rasa1/Sh3glb1/Slain2/Hip1r/Hcfc1/Src/Tppp3/Pmepa1/Atxn2",36
"BP","GO:0072659","protein localization to plasma membrane","26/878","279/23210",2.38744122371677e-05,0.00240272084754855,0.00202103182327687,"Ramp2/Atp1b1/Sorbs1/Pgrmc1/Ptch1/Kif5b/Prnp/Sptbn1/Rdx/Nsf/Vamp3/Vps35/Stx7/Scp2/Vamp4/Dennd4c/Camk2g/Rab31/Rab10/Rap2a/Ank1/Golph3/Emp2/Mmp14/Rab3b/Lama5",26
"BP","GO:0007346","regulation of mitotic cell cycle","38/878","493/23210",2.96618311317598e-05,0.0029266340050003,0.00246171770858217,"Rpl17/Sept7/Ddx3x/Ptch1/Vps4b/Ik/Rps6/Cdc42/Rdx/App/Hnrnpu/Btg1/Ctnnb1/Ptpn11/Hspa1a/Rps27l/Pttg1/Chfr/Ywhah/Stag2/Riok2/Bub3/Atf2/Asns/Pim3/Prmt2/Ctdsp2/Ino80/Kmt2e/Gnai1/Becn1/Atrx/Gadd45gip1/Ankrd17/Fzd3/Phip/Apex1/Cdk1",38
"BP","GO:0007160","cell-matrix adhesion","21/878","204/23210",3.34082712288721e-05,0.00323289270814777,0.00271932507310313,"Gpm6b/Sorbs1/Nrp1/Ctnnb1/Limch1/Slk/Itga6/Adam9/Dmd/Rasa1/Emp2/Strc/Mmp14/Itgbl1/Ldb1/Cdh13/Mink1/Itgav/Zyx/Src/Dag1",21
"BP","GO:0043500","muscle adaptation","15/878","117/23210",3.57722028474037e-05,0.00339633442883274,0.00285680293246098,"Oga/Errfi1/Gsn/Gatm/Slc25a4/Atp2a2/Adk/Ppp3ca/Mtpn/Smad4/Yy1/Becn1/Lmna/Gtf2ird1/Myh7",15
"BP","GO:1902117","positive regulation of organelle assembly","12/878","79/23210",3.96243177384922e-05,0.00365162360373006,0.00307153763505116,"Sept7/Vps4b/G3bp2/Cnot2/Cnot6/Sh3glb1/Becn1/Sept9/Ttbk2/Stx18/Src/Mark4",12
"BP","GO:0016570","histone modification","34/878","427/23210",4.03041340980704e-05,0.00365162360373006,0.00307153763505116,"Nap1l2/Wac/Morf4l2/Ctnnb1/Jmjd1c/Usp7/Kansl2/Ube2b/Smad4/Slk/Pim3/Flcn/Prmt2/Paxbp1/Morf4l1/Ddb2/Rcor1/Ing3/Uimc1/Kmt2e/Prmt7/Cbx8/Pax5/Atrx/Coprs/Ldb1/Kmt2d/Lmna/Fbl/Hcfc1/Elk4/Kansl1/Baz1b/Pcgf2",34
"BP","GO:0072594","establishment of protein localization to organelle","31/878","374/23210",4.11508848542921e-05,0.00365162360373006,0.00307153763505116,"Ddx5/Tomm20/Hsp90aa1/Pttg1ip/Hsph1/Nupl1/Sec62/Cct4/Zic1/Dnaja1/Nfkbia/Cct5/Cct2/Mff/Zfand6/Nup85/Ppp3ca/Ipo5/Hspd1/Srp19/Pom121/Rab10/Tardbp/Lamp2/Gosr2/Sh3glb1/Pex16/Lmna/Ndufa13/Phip/Timm44",31
"BP","GO:0034330","cell junction organization","24/878","255/23210",4.13637808848596e-05,0.00365162360373006,0.00307153763505116,"Ramp2/Gpm6b/Mpz/Pmp22/Sorbs1/Ugt8a/Ctnna1/Nrp1/Cdc42/Rdx/Gja1/Vmp1/Ctnnb1/Limch1/Slk/Flcn/Ophn1/Mmp14/Ldb1/Cdh13/Itgav/Fbf1/Ceacam1/Src",24
"BP","GO:0016482","cytosolic transport","17/878","147/23210",4.27113781097396e-05,0.00365302983621702,0.00307272047766476,"Rab14/Rab5a/Eps15/Tbc1d14/Kif5b/Rdx/Rab9/Vamp3/Vps35/Gosr2/Sh3glb1/Emp2/Vps26a/Gosr1/Becn1/Kif5a/Src",17
"BP","GO:0006913","nucleocytoplasmic transport","26/878","289/23210",4.35575894620471e-05,0.00365302983621702,0.00307272047766476,"Ddx5/Hnrnpa2b1/Hspa9/Adam10/Pttg1ip/Nupl1/Zic1/Ppm1a/Nfkbia/Ddx39/Srsf3/Ptpn11/Ppp1cc/Thoc7/Nup85/Zc3h11a/Ppp3ca/Ipo5/Xpo7/Riok2/Thoc1/Pom121/Tardbp/Poldip3/Lmna/Phip",26
"BP","GO:0051169","nuclear transport","26/878","289/23210",4.35575894620471e-05,0.00365302983621702,0.00307272047766476,"Ddx5/Hnrnpa2b1/Hspa9/Adam10/Pttg1ip/Nupl1/Zic1/Ppm1a/Nfkbia/Ddx39/Srsf3/Ptpn11/Ppp1cc/Thoc7/Nup85/Zc3h11a/Ppp3ca/Ipo5/Xpo7/Riok2/Thoc1/Pom121/Tardbp/Poldip3/Lmna/Phip",26
"BP","GO:0045732","positive regulation of protein catabolic process","21/878","210/23210",5.12201156421773e-05,0.00422523970346617,0.00355403080236747,"Ndfip1/Csnk1d/Hsp90aa1/Pttg1ip/Rdx/Rnf14/Nsf/Gja1/Vps35/Csnk1a1/Hspa1a/Chfr/Sumo1/Adam9/Tiparp/Arih2/Gclc/Ankib1/Nkd1/Ndufa13/Nrd1",21
"BP","GO:0050808","synapse organization","35/878","451/23210",5.2719462303834e-05,0.00427877958569182,0.00359906549955376,"Malat1/Ndrg1/Nptn/Pmp22/Sorbs1/Adam10/Sept7/Pgrmc1/Sparcl1/Rheb/Wasl/Prnp/Nrp1/Cdc42/App/Sparc/Adnp/Vps35/Itsn1/Ctnnb1/Pfn2/Egln1/Hnrnpk/Srgn/Als2/Gphn/Ophn1/Rab17/Ncan/Clstn2/Klk8/Dag1/Gabra1/Chd4/Lmx1b",35
